         9182704 function calls (8807876 primitive calls) in 16.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wsgi.py:568(readall)
       17    0.000    0.000    0.000    0.000 C:\Python312\Lib\json\decoder.py:343(raw_decode)
       18    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\filters\cvd.py:258(get_best_filter)
       40    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      116    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:13358(__init__)
        6    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\css\parse.py:117(parse_hex)
      116    0.000    0.000    0.000    0.000 C:\Python312\Lib\threading.py:1180(name)
      107    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wsgi.py:114(get_content_length)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:147(_on_dict_loaded)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\contextlib.py:132(__enter__)
       48    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       35    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\css\parse.py:307(tokenize_css)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:173(_read)
       52    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_methods.py:77(_count_reduce_items)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\sansio\utils.py:140(get_content_length)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\datastructures\headers.py:84(get)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:9510(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\gamut\fit_minde_chroma.py:20(calc_epsilon)
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\local.py:303(__get__)
        3    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       16    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\flask\wrappers.py:55(max_content_length)
        4    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\_ufunc_config.py:489(_no_nep50_warning)
       40    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:9418(__init__)
       32    0.000    0.000    0.000    0.000 C:\Python312\Lib\socketserver.py:257(service_actions)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\contextlib.py:299(helper)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\contextlib.py:141(__exit__)
       17    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       16    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
        9    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\_reloader.py:60(_remove_by_pattern)
       18    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\css\parse.py:44(norm_hex_channel)
       18    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\filters\cvd.py:246(select_filter)
       31    0.000    0.000    0.000    0.000 C:\Python312\Lib\_collections_abc.py:435(__subclasshook__)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wsgi.py:520(readinto)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:18706(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\json\__init__.py:244(detect_encoding)
       16    0.000    0.000    0.000    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:479(is_authenticated)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\_internal.py:202(_plain_int)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\datastructures\headers.py:485(__getitem__)
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\local.py:504(_get_current_object)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:82(order)
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\http.py:427(parse_options_header)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\contextlib.py:104(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\typing.py:378(inner)
       12    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       12    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\__init__.py:279(match)
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\numeric.py:1937(isscalar)
        3    0.000    0.000    0.000    0.000 {method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects}
        6    0.000    0.000    0.000    0.000 C:\Python312\Lib\_collections_abc.py:341(__subclasshook__)
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:3571(ndim)
        3    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\local.py:288(bind_f)
        1    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 {built-in method numpy.lib.array_utils.normalize_axis_index}
        1    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wsgi.py:457(__init__)
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\werkzeug\wsgi.py:463(is_exhausted)
        3    0.000    0.000    0.000    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
        3    0.000    0.000    0.000    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
        1    0.000    0.000    0.000    0.000 {method 'readinto' of '_io.BufferedReader' objects}
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:3567(_ndim_dispatcher)
        2    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:3778(_mean_dispatcher)
        3    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\function_base.py:20(_linspace_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method math.log10}
        3    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        3    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:3908(_std_dispatcher)
        3    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\typing.py:2132(cast)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method math.floor}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}


