         9182704 function calls (8807876 primitive calls) in 16.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16358    0.115    0.000    0.115    0.000 C:\Python312\Lib\json\encoder.py:205(iterencode)
    21624    0.077    0.000    0.114    0.000 C:\Python312\Lib\concurrent\futures\_base.py:497(set_running_or_notify_cancel)
    26523    0.028    0.000    0.113    0.000 C:\Python312\Lib\typing.py:1446(__subclasscheck__)
    23375    0.076    0.000    0.111    0.000 C:\Python312\Lib\concurrent\futures\_base.py:177(_yield_finished_futures)
    21624    0.080    0.000    0.109    0.000 C:\Python312\Lib\concurrent\futures\_base.py:428(result)
    83353    0.083    0.000    0.107    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\algebra.py:175(nth_root)
     8223    0.027    0.000    0.101    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:606(get_current_thread_id)
    16342    0.028    0.000    0.099    0.000 c:\Users\nfkam\.vscode\extensions\ms-python.debugpy-2024.10.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\_debug_adapter\pydevd_schema.py:1171(to_dict)
     5295    0.051    0.000    0.098    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\gamut\__init__.py:16(clip_channels)
    75108    0.097    0.000    0.097    0.000 {method 'release' of '_thread.lock' objects}
     6568    0.009    0.000    0.094    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb_linear.py:71(from_base)
   764992    0.090    0.000    0.090    0.000 {built-in method builtins.len}
   132339    0.068    0.000    0.087    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\color.py:199(__getitem__)
     6568    0.020    0.000    0.086    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb_linear.py:34(xyz_to_lin_srgb)
    39279    0.047    0.000    0.080    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lch\__init__.py:24(lch_to_lab)
    82544    0.047    0.000    0.079    0.000 C:\Python312\Lib\threading.py:314(_is_owned)
16359/7732    0.031    0.000    0.078    0.000 {built-in method time.sleep}
     4927    0.021    0.000    0.078    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\lab\__init__.py:75(to_base)
     6585    0.011    0.000    0.077    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\srgb\__init__.py:58(from_base)
     8171    0.031    0.000    0.077    0.000 C:\Python312\Lib\ntpath.py:257(splitext)
     2471    0.007    0.000    0.076    0.000 c:\Users\nfkam\Documents\GitHub\PortfolioSite\.venv\Lib\site-packages\coloraide\spaces\oklab\__init__.py:100(to_base)
